p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost,anytime_cost,top_cost,memory_style,hyper_parametr
1.0,true,5,0.0,,0.2,1.0,1,0,2147483647,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,1,1914,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,2,1914,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,3,1712,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,4,1712,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,5,1500,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,6,1970,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,7,1952,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,8,1880,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,9,1564,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,10,1364,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,11,1506,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,12,1506,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,13,1722,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,14,1410,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,15,1058,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,16,1240,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,17,1240,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,18,1210,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,19,1234,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,20,1038,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,21,1026,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,22,1026,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,23,822,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,24,792,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,25,1200,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,26,1270,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,27,1146,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,28,870,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,29,970,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,30,1098,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,31,908,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,32,826,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,33,666,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,34,1066,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,35,806,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,36,800,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,37,764,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,38,900,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,39,900,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,40,798,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,41,766,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,42,800,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,43,800,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,44,800,2147483647,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,45,832,806,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,46,832,806,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,47,832,806,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,48,914,678,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,49,832,678,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,50,724,678,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,51,766,678,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,52,766,678,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,53,766,678,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,54,1028,678,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,55,718,906,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,56,718,906,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,57,590,704,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,58,848,704,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,59,1096,660,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,60,850,660,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,61,850,660,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,62,590,660,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,63,730,660,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,64,772,660,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,65,640,660,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,66,640,660,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,67,640,660,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,68,640,660,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,69,590,660,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,70,850,660,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,71,590,660,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,72,640,660,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,73,640,660,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,74,640,660,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,75,640,666,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,76,772,666,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,77,730,666,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,78,590,666,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,79,850,686,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,80,928,686,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,81,718,686,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,82,718,686,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,83,640,686,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,84,640,850,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,85,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,86,730,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,87,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,88,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,89,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,90,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,91,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,92,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,93,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,94,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,95,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,96,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,97,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,98,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,99,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,100,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,101,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,102,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,103,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,104,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,105,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,106,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,107,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,108,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,109,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,110,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,111,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,112,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,113,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,114,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,115,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,116,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,117,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,118,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,119,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,120,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,121,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,122,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,123,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,124,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,125,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,126,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,127,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,128,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,129,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,130,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,131,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,132,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,133,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,134,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,135,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,136,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,137,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,138,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,139,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,140,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,141,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,142,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,143,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,144,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,145,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,146,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,147,590,590,03,0.0
1.0,true,5,0.0,,0.2,1.0,1,148,590,590,03,0.0
